Time (s),Grid Row,Grid Column,Soil Level,Plant Level,Coins,Instance ID
0,0,0,0,0,100,9
0,0,1,0,0,100,9
0,0,2,0,0,100,9
0,0,3,0,0,100,9
0,0,4,0,0,100,9
0,0,5,0,0,100,9
0,1,0,0,0,100,9
0,1,1,0,0,100,9
0,1,2,0,0,100,9
0,1,3,0,0,100,9
0,1,4,0,0,100,9
0,1,5,0,0,100,9
0,2,0,0,0,100,9
0,2,1,0,0,100,9
0,2,2,0,0,100,9
0,2,3,0,0,100,9
0,2,4,0,0,100,9
0,2,5,0,0,100,9
1,0,0,0,0,100,9
1,0,1,0,0,100,9
1,0,2,0,0,100,9
1,0,3,0,0,100,9
1,0,4,0,0,100,9
1,0,5,0,0,100,9
1,1,0,0,0,100,9
1,1,1,0,0,100,9
1,1,2,0,0,100,9
1,1,3,0,0,100,9
1,1,4,0,0,100,9
1,1,5,0,0,100,9
1,2,0,0,0,100,9
1,2,1,0,0,100,9
1,2,2,0,0,100,9
1,2,3,0,0,100,9
1,2,4,0,0,100,9
1,2,5,0,0,100,9
2,0,0,0,0,50,9
2,0,1,0,0,50,9
2,0,2,0,0,50,9
2,0,3,1,2,50,9
2,0,4,0,0,50,9
2,0,5,0,0,50,9
2,1,0,0,0,50,9
2,1,1,0,0,50,9
2,1,2,0,0,50,9
2,1,3,0,0,50,9
2,1,4,0,0,50,9
2,1,5,0,0,50,9
2,2,0,0,0,50,9
2,2,1,0,0,50,9
2,2,2,0,0,50,9
2,2,3,0,0,50,9
2,2,4,0,0,50,9
2,2,5,0,0,50,9
3,0,0,0,0,50,9
3,0,1,0,0,50,9
3,0,2,0,0,50,9
3,0,3,1,2,50,9
3,0,4,0,0,50,9
3,0,5,0,0,50,9
3,1,0,0,0,50,9
3,1,1,0,0,50,9
3,1,2,0,0,50,9
3,1,3,0,0,50,9
3,1,4,0,0,50,9
3,1,5,0,0,50,9
3,2,0,0,0,50,9
3,2,1,0,0,50,9
3,2,2,0,0,50,9
3,2,3,0,0,50,9
3,2,4,0,0,50,9
3,2,5,0,0,50,9
4,0,0,0,0,50,9
4,0,1,0,0,50,9
4,0,2,0,0,50,9
4,0,3,1,3,50,9
4,0,4,0,0,50,9
4,0,5,0,0,50,9
4,1,0,0,0,50,9
4,1,1,0,0,50,9
4,1,2,0,0,50,9
4,1,3,0,0,50,9
4,1,4,0,0,50,9
4,1,5,0,0,50,9
4,2,0,0,0,50,9
4,2,1,0,0,50,9
4,2,2,0,0,50,9
4,2,3,0,0,50,9
4,2,4,0,0,50,9
4,2,5,0,0,50,9
5,0,0,0,0,50,9
5,0,1,0,0,50,9
5,0,2,0,0,50,9
5,0,3,1,3,50,9
5,0,4,0,0,50,9
5,0,5,0,0,50,9
5,1,0,0,0,50,9
5,1,1,0,0,50,9
5,1,2,0,0,50,9
5,1,3,0,0,50,9
5,1,4,0,0,50,9
5,1,5,0,0,50,9
5,2,0,0,0,50,9
5,2,1,0,0,50,9
5,2,2,0,0,50,9
5,2,3,0,0,50,9
5,2,4,0,0,50,9
5,2,5,0,0,50,9
6,0,0,0,0,50,9
6,0,1,0,0,50,9
6,0,2,0,0,50,9
6,0,3,1,4,50,9
6,0,4,0,0,50,9
6,0,5,0,0,50,9
6,1,0,0,0,50,9
6,1,1,0,0,50,9
6,1,2,0,0,50,9
6,1,3,0,0,50,9
6,1,4,0,0,50,9
6,1,5,0,0,50,9
6,2,0,0,0,50,9
6,2,1,0,0,50,9
6,2,2,0,0,50,9
6,2,3,0,0,50,9
6,2,4,0,0,50,9
6,2,5,0,0,50,9
7,0,0,0,0,50,9
7,0,1,0,0,50,9
7,0,2,0,0,50,9
7,0,3,1,4,50,9
7,0,4,0,0,50,9
